"","occurrenceID","datasetName","basisOfRecord","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","establishmentMeans","occurrenceStatus","eventID","scientificName","kingdom","phylum","class","order","family","genus","taxonRank","scientificNameAuthorship","vernacularName","modified","parentEventID","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventDate","year","fieldNumber","locationID","waterBody","county","municipality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferenceRemarks","measurementUnit","measurementMethod","populationTrend"
"1","urn:uuid:6441075a-9514-4ed3-8180-602e5c2fad15","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_2 | art: 5 | lnr: 9 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:ccbdbcf8-5e21-47d8-a7cd-fb8a4dddb7da","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_2 | innført_år:","NVE Vatn_lnr:3107 | NOFA locationID:c3a60d1d-ca66-4e1a-9f4e-87f27762f23e","Heia","Akershus","Fet",59.9315949700562,11.2180925498127,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"2","urn:uuid:5e62850e-94f7-401f-acdd-2de78a317256","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_2 | art: 20 | lnr: 10 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:ccbdbcf8-5e21-47d8-a7cd-fb8a4dddb7da","Perca fluviatilis","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Perch","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_2 | innført_år:","NVE Vatn_lnr:3107 | NOFA locationID:c3a60d1d-ca66-4e1a-9f4e-87f27762f23e","Heia","Akershus","Fet",59.9315949700562,11.2180925498127,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"3","urn:uuid:fb2d4e21-b052-4830-bdca-5274fe4a0ef7","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_2 | art: 36 | lnr: 11 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:ccbdbcf8-5e21-47d8-a7cd-fb8a4dddb7da","Phoxinus phoxinus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Eurasian minnow","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_2 | innført_år:","NVE Vatn_lnr:3107 | NOFA locationID:c3a60d1d-ca66-4e1a-9f4e-87f27762f23e","Heia","Akershus","Fet",59.9315949700562,11.2180925498127,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"4","urn:uuid:fae51688-381e-4410-aa8b-db576dbb47f8","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_2 | art: 31 | lnr: 12 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:ccbdbcf8-5e21-47d8-a7cd-fb8a4dddb7da","Rutilus rutilus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Common roach","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_2 | innført_år:","NVE Vatn_lnr:3107 | NOFA locationID:c3a60d1d-ca66-4e1a-9f4e-87f27762f23e","Heia","Akershus","Fet",59.9315949700562,11.2180925498127,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"5","urn:uuid:1cbe0f5b-6781-41f1-908d-8885c2075b52","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_2 | art: 37 | lnr: 13 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:ccbdbcf8-5e21-47d8-a7cd-fb8a4dddb7da","Esox lucius","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Pike","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_2 | innført_år:","NVE Vatn_lnr:3107 | NOFA locationID:c3a60d1d-ca66-4e1a-9f4e-87f27762f23e","Heia","Akershus","Fet",59.9315949700562,11.2180925498127,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"6","urn:uuid:299d6b61-b7be-4384-8b14-665ed91b7b9c","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_9 | art: 5 | lnr: 39 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:d36f13a0-2c34-4e21-a4d7-d675514a3f31","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_9 | innført_år:","NVE Vatn_lnr:3268 | NOFA locationID:5d7da34d-29b4-407e-b26e-a02293713be7","Lombergtjern","Akershus","Aurskog-Høland",59.739177713399,11.6176162719184,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"7","urn:uuid:4a02d90d-1631-4611-812d-02ca017e672b","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_9 | art: 20 | lnr: 40 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","rare","urn:uuid:d36f13a0-2c34-4e21-a4d7-d675514a3f31","Perca fluviatilis","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Perch","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_9 | innført_år:","NVE Vatn_lnr:3268 | NOFA locationID:5d7da34d-29b4-407e-b26e-a02293713be7","Lombergtjern","Akershus","Aurskog-Høland",59.739177713399,11.6176162719184,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"8","urn:uuid:b29f1853-825b-418c-ab1c-e167dd231bc0","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_9 | art: 31 | lnr: 41 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","irregular","urn:uuid:d36f13a0-2c34-4e21-a4d7-d675514a3f31","Rutilus rutilus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Common roach","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_9 | innført_år:","NVE Vatn_lnr:3268 | NOFA locationID:5d7da34d-29b4-407e-b26e-a02293713be7","Lombergtjern","Akershus","Aurskog-Høland",59.739177713399,11.6176162719184,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"9","urn:uuid:0fedf556-30e3-42e7-9783-2c8bd55ac18e","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_9 | art: 37 | lnr: 42 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","irregular","urn:uuid:d36f13a0-2c34-4e21-a4d7-d675514a3f31","Esox lucius","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Pike","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_9 | innført_år:","NVE Vatn_lnr:3268 | NOFA locationID:5d7da34d-29b4-407e-b26e-a02293713be7","Lombergtjern","Akershus","Aurskog-Høland",59.739177713399,11.6176162719184,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"10","urn:uuid:d4ed7469-2dae-4364-8411-54fe2582f325","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_10 | art: 5 | lnr: 43 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","absent","urn:uuid:cf54d0ae-14d5-4ed2-867a-8d33978d3cab","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"1970-01-01/1970-12-31",1970,"skjemaNr: TH_NI_2015_10 | innført_år:","NVE Vatn_lnr:3184 | NOFA locationID:3e0532b5-1f6f-43f6-82b5-05a5b2ee1d18","Lembruvatnet","Hedmark","Eidskog",59.8409958085973,11.8372296681724,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"11","urn:uuid:139566f9-fe10-4679-8497-0e8427572641","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_10 | art: 20 | lnr: 44 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","rare","urn:uuid:a58302f2-e3c1-47e5-ac50-81759facff5a","Perca fluviatilis","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Perch","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_10 | innført_år:","NVE Vatn_lnr:3184 | NOFA locationID:3e0532b5-1f6f-43f6-82b5-05a5b2ee1d18","Lembruvatnet","Hedmark","Eidskog",59.8409958085973,11.8372296681724,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid","ordinal scale	population trend from IUCN vocabulary, expanded with extinction and introduction as subclass of decrease and increase, respectively; http://www.iucnredlist.org/technical-documents/categories-and-criteria/2001-categories-criteria
urn:uuid:a58302f2-e3c1-47e5-ac50-81759facff5a	urn:uuid:51641a64-844f-4e68-999d-b9b0c00a7eaa	populationTrend	stable	ordinal scale","population trend from IUCN vocabulary, expanded with extinction and introduction as subclass of decrease and increase, respectively; http://www.iucnredlist.org/technical-documents/categories-and-criteria/2001-categories-criteria","stable"
"12","urn:uuid:51641a64-844f-4e68-999d-b9b0c00a7eaa","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_10 | art: 38 | lnr: 45 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:a58302f2-e3c1-47e5-ac50-81759facff5a","Anguilla anguilla","Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","Species","L.1758","European eel","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_10 | innført_år:","NVE Vatn_lnr:3184 | NOFA locationID:3e0532b5-1f6f-43f6-82b5-05a5b2ee1d18","Lembruvatnet","Hedmark","Eidskog",59.8409958085973,11.8372296681724,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"13","urn:uuid:ce44c8d6-a024-4912-a14b-3027a0010d72","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 5 | lnr: 46 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","absent","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"14","urn:uuid:9788ada3-c153-4e81-b660-83151cc16bda","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 20 | lnr: 47 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","rare","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Perca fluviatilis","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Perch","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"15","urn:uuid:f1c8dffb-f9cf-4e33-92d2-c4ed278ecd39","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 31 | lnr: 48 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Rutilus rutilus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Common roach","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"16","urn:uuid:680e4666-4661-453f-bc35-a70f37f183d7","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 37 | lnr: 49 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","rare","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Esox lucius","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Pike","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"17","urn:uuid:f3e018bc-09f0-4f8c-9c44-0aba136a8b11","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 22 | lnr: 50 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Acerina cernua","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Eurasian ruffe","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"18","urn:uuid:e413efd1-752c-4f7f-b5fb-c7791129fe73","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 29 | lnr: 51 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Alburnus alburnus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Common bleak","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"19","urn:uuid:346fd2d3-49fb-44c1-af1b-0b13b7b87c9d","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 10 | lnr: 52 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Osmerus eperlanus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","European smelt","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"20","urn:uuid:f54e6bf0-907c-4075-81db-a804c13972df","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 9 | lnr: 53 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Coregonus albula","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Vendace","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"21","urn:uuid:50481f11-5bab-49e0-b40c-0fd25b3a0aa6","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_11 | art: 39 | lnr: 54 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:44cf86de-002f-4a8a-8143-9a3da8613135","Lota lota","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Burbot","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_11 | innført_år:","NVE Vatn_lnr:315 | NOFA locationID:f2eec307-438a-42e2-96d9-f7a0ebb6f792","Floen","Akershus","Aurskog-Høland",59.9972848148082,11.5443490544811,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"22","urn:uuid:7ac05d60-8401-4a70-9f7a-a869b50d042a","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_12 | art: 5 | lnr: 55 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:a70cc51d-330d-4845-aa26-7da6569e4230","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_12 | innført_år:","NVE Vatn_lnr:4313 | NOFA locationID:7d98db3d-331b-4e10-a9d3-f77c7b61ac5a","Kolbjørnsrudsjøen","Hedmark","Kongsvinger",60.0742317659954,12.3451355552325,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"23","urn:uuid:1fb37876-1945-46a6-b8f4-728f479d0819","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_12 | art: 20 | lnr: 56 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:a70cc51d-330d-4845-aa26-7da6569e4230","Perca fluviatilis","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Perch","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_12 | innført_år:","NVE Vatn_lnr:4313 | NOFA locationID:7d98db3d-331b-4e10-a9d3-f77c7b61ac5a","Kolbjørnsrudsjøen","Hedmark","Kongsvinger",60.0742317659954,12.3451355552325,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"24","urn:uuid:a68da301-c2be-4a7d-8209-08b47cf123bb","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_12 | art: 39 | lnr: 57 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:a70cc51d-330d-4845-aa26-7da6569e4230","Lota lota","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Burbot","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_12 | innført_år:","NVE Vatn_lnr:4313 | NOFA locationID:7d98db3d-331b-4e10-a9d3-f77c7b61ac5a","Kolbjørnsrudsjøen","Hedmark","Kongsvinger",60.0742317659954,12.3451355552325,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"25","urn:uuid:d0957742-fd61-4cd9-9d40-f78840aaa2ce","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_12 | art: 37 | lnr: 58 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:a70cc51d-330d-4845-aa26-7da6569e4230","Esox lucius","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Pike","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_12 | innført_år:","NVE Vatn_lnr:4313 | NOFA locationID:7d98db3d-331b-4e10-a9d3-f77c7b61ac5a","Kolbjørnsrudsjøen","Hedmark","Kongsvinger",60.0742317659954,12.3451355552325,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"26","urn:uuid:2f4107ac-b6c1-4e44-af51-056af01182bd","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_15 | art: 5 | lnr: 66 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:0234d8b5-a870-416a-9072-fb68f9537049","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_15 | innført_år:","NVE Vatn_lnr:4112 | NOFA locationID:118a87df-7ee2-423c-82a8-bd4c28a1c345","Fjellsjøen","Hedmark","Kongsvinger",60.244873712245,12.2677477795103,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"27","urn:uuid:07dfeb10-4a05-428c-afd1-2c1d1a5d6a80","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_15 | art: 6 | lnr: 67 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:0234d8b5-a870-416a-9072-fb68f9537049","Salvelinus alpinus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Arctic charr","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_15 | innført_år:","NVE Vatn_lnr:4112 | NOFA locationID:118a87df-7ee2-423c-82a8-bd4c28a1c345","Fjellsjøen","Hedmark","Kongsvinger",60.244873712245,12.2677477795103,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"28","urn:uuid:14af0515-1722-4aba-ac15-1e316f100f2b","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_15 | art: 20 | lnr: 68 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:0234d8b5-a870-416a-9072-fb68f9537049","Perca fluviatilis","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Perch","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_15 | innført_år:","NVE Vatn_lnr:4112 | NOFA locationID:118a87df-7ee2-423c-82a8-bd4c28a1c345","Fjellsjøen","Hedmark","Kongsvinger",60.244873712245,12.2677477795103,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"29","urn:uuid:b100310a-4e4b-4d41-b677-ba21787a16e0","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_15 | art: 36 | lnr: 69 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:0234d8b5-a870-416a-9072-fb68f9537049","Phoxinus phoxinus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Eurasian minnow","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_15 | innført_år:","NVE Vatn_lnr:4112 | NOFA locationID:118a87df-7ee2-423c-82a8-bd4c28a1c345","Fjellsjøen","Hedmark","Kongsvinger",60.244873712245,12.2677477795103,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"30","urn:uuid:283505c0-1189-4ca4-9e4e-5979153c25e7","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_16 | art: 5 | lnr: 70 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:86526fe1-a397-4065-b8e0-9c255cad2d93","Salmo trutta","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Brown trout","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_16 | innført_år:","NVE Vatn_lnr:371 | NOFA locationID:76bdd667-9e3b-4534-8eff-e92454b3d8de","N Hærsjøen","Hedmark","Kongsvinger",60.1145954975554,12.3784566067109,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"31","urn:uuid:3c4e4387-bd74-444b-946f-fcd7c4ed894a","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_16 | art: 6 | lnr: 71 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:86526fe1-a397-4065-b8e0-9c255cad2d93","Salvelinus alpinus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","Arctic charr","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_16 | innført_år:","NVE Vatn_lnr:371 | NOFA locationID:76bdd667-9e3b-4534-8eff-e92454b3d8de","N Hærsjøen","Hedmark","Kongsvinger",60.1145954975554,12.3784566067109,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
"32","urn:uuid:cb262560-3bcd-4b19-9e5b-a82aafa6f31b","Freshwater lake fish Inventory","HumanObservation","skjemaNr: TH_NI_2015_16 | art: 10 | lnr: 72 | innført_år:","Trygve Hesthagen",NA,NA,NA,NA,NA,NA,"unknown","present","urn:uuid:86526fe1-a397-4065-b8e0-9c255cad2d93","Osmerus eperlanus","Animalia",NA,NA,NA,NA,NA,NA,"L.1758","European smelt","2017-03-25",NA,"survey_questionary",NA,NA,NA,"2015-01-01/2015-12-31",2015,"skjemaNr: TH_NI_2015_16 | innført_år:","NVE Vatn_lnr:371 | NOFA locationID:76bdd667-9e3b-4534-8eff-e92454b3d8de","N Hærsjøen","Hedmark","Kongsvinger",60.1145954975554,12.3784566067109,"EPSG:4326",15,"Latitude/longitude coordinates represent waterBody centroid",NA,NA,NA
